"","IRIS","population"
"1435","783580108",1259
"1436","783580109",702
"1437","783580110",135
"1438","783610101",581
"1439","783610102",431
"1440","783610103",1214
"1441","783610104",987
"1442","783610105",120
"1443","783610106",293
"1444","783610107",334
"1445","783610108",661
"1446","783610109",450
"1447","783610110",922
"1448","783610111",1121
"1449","783610112",864
"1450","783610113",620
"1451","783610114",1069
"1452","783610115",1145
"1453","783610116",1119
"1454","783610117",1315
"1455","783610118",1251
"1456","783610119",1003
"1457","783610120",1209
"1458","783620101",1108
"1459","783620102",1229
"1460","783620103",1048
"1461","783620104",583
"1462","783620105",842
"1463","783620106",513
"1464","783620107",1190
"1465","783620108",904
"1466","783720101",1107
"1467","783720102",669
"1468","783720103",956
"1469","783720104",680
"1470","783720105",1181
"1471","783720106",769
"1472","783720107",879
"1473","783720108",24
"1474","783800101",3216
"1475","783800102",2483
"1476","783830101",988
"1477","783830102",803
"1478","783830103",732
"1479","783830104",1265
"1480","783830105",936
"1481","783830106",834
"1482","783830107",694
"1483","783830108",892
"1484","783830109",12
"1485","783960101",1822
"1486","783960102",2273
"1487","783960103",2016
"1488","783970101",2302
"1489","783970102",2312
"1490","783970103",2088
"1491","784010101",2167
"1492","784010102",1744
"1493","784010103",2131
"1494","784010104",2701
"1495","784180101",1130
"1496","784180102",900
"1497","784180103",777
"1498","784180104",942
"1499","784180105",1322
"1500","784180106",792
"1501","784230101",473
"1502","784230102",1126
"1503","784230103",1445
"1504","784230104",814
"1505","784230105",641
"1506","784230106",757
"1507","784230107",320
"1508","784230108",644
"1509","784230109",1601
"1510","784230110",1225
"1511","784230111",576
"1512","784230112",647
"1513","784230113",709
"1514","784230114",651
"1515","784230115",605
"1516","784230116",547
"1517","784400101",1796
"1518","784400102",1728
"1519","784400103",736
"1520","784400104",783
"1521","784400105",378
"1522","784400106",1633
"1523","784400107",1350
"1524","784400108",719
"1525","784400109",361
"1526","784400110",400
"1527","784400111",1005
"1528","784400112",1538
"1529","784550101",2554
"1530","784550102",1972
"1531","784550103",2988
"1532","784810101",1210
"1533","784810102",580
"1534","784810103",539
"1535","784810104",853
"1536","784810105",955
"1537","784810106",768
"1538","784810107",843
"1539","784810108",516
"1540","784860101",2735
"1541","784860102",4041
"1542","784900101",1005
"1543","784900102",892
"1544","784900103",638
"1545","784900104",1165
"1546","784900105",1347
"1547","784900106",621
"1548","784900107",625
"1549","784900108",836
"1550","784900109",1222
"1551","784900110",979
"1552","784900111",964
"1553","784900112",1412
"1554","784980101",984
"1555","784980102",887
"1556","784980103",1509
"1557","784980104",613
"1558","784980105",1016
"1559","784980106",902
"1560","784980107",818
"1561","784980108",1194
"1562","784980109",895
"1563","784980110",854
"1564","784980111",967
"1565","784980112",734
"1566","784980113",784
"1567","784980114",550
"1568","784980115",591
"1569","784980116",112
"1570","784980117",645
"1571","785170101",1184
"1572","785170102",1086
"1573","785170103",968
"1574","785170104",1120
"1575","785170105",509
"1576","785170106",841
"1577","785170107",1030
"1578","785170108",1319
"1579","785170109",1090
"1580","785170110",716
"1581","785370101",3269
"1582","785370102",2808
"1583","785450101",970
"1584","785450102",692
"1585","785450103",1288
"1586","785450104",736
"1587","785450105",1424
"1588","785450106",805
"1589","785450107",817
"1590","785510101",833
"1591","785510102",817
"1592","785510103",815
"1593","785510104",633
"1594","785510105",1008
"1595","785510106",530
"1596","785510107",647
"1597","785510108",657
"1598","785510109",1460
"1599","785510110",744
"1600","785510111",844
"1601","785510112",1204
"1602","785510113",953
"1603","785510114",952
"1604","785510115",833
"1605","785510116",810
"1606","785510117",660
"1607","785510118",485
"1608","785510119",844
"1609","785710101",1473
"1610","785710102",3499
"1611","785750101",2140
"1612","785750102",3382
"1613","785750103",1894
"1614","785860101",939
"1615","785860102",673
"1616","785860201",730
"1617","785860202",965
"1618","785860203",745
"1619","785860301",643
"1620","785860302",725
"1621","785860401",1217
"1622","785860501",1168
"1623","785860502",1726
"1624","785860601",682
"1625","785860701",756
"1626","785860702",626
"1627","785860703",560
"1628","785860801",924
"1629","785860802",1288
"1630","785860901",956
"1631","785861001",1031
"1632","785861101",634
"1633","785861102",789
"1634","785861201",1717
"1635","785861301",23
"1636","786210101",798
"1637","786210102",1709
"1638","786210103",1246
"1639","786210104",598
"1640","786210105",770
"1641","786210106",785
"1642","786210107",919
"1643","786210108",673
"1644","786210109",990
"1645","786210110",1968
"1646","786210111",1075
"1647","786210112",636
"1648","786240101",1583
"1649","786240102",859
"1650","786240103",1924
"1651","786400102",632
"1652","786400103",620
"1653","786400104",530
"1654","786400105",513
"1655","786400106",760
"1656","786400107",512
"1657","786400108",728
"1658","786400109",450
"1659","786400110",735
"1660","786400111",2190
"1661","786420101",923
"1662","786420102",1706
"1663","786420103",1291
"1664","786420104",890
"1665","786420105",1100
"1666","786430101",2414
"1667","786430102",1955
"1668","786430103",2507
"1669","786430104",2705
"1670","786440101",2049
"1671","786440102",1573
"1672","786440103",1912
"1673","786460101",667
"1674","786460102",758
"1675","786460103",707
"1676","786460201",1219
"1677","786460202",899
"1678","786460203",964
"1679","786460204",686
"1680","786460205",511
"1681","786460206",902
"1682","786460207",676
"1683","786460301",1012
"1684","786460302",803
"1685","786460303",1603
"1686","786460304",1453
"1687","786460305",1176
"1688","786460306",1036
"1689","786460307",1342
"1690","786460401",714
"1691","786460402",824
"1692","786460403",640
"1693","786460404",1161
"1694","786460405",947
"1695","786460406",638
"1696","786460407",620
"1697","786460501",1139
"1698","786460502",743
"1699","786460503",646
"1700","786460504",1216
"1701","786460505",1242
"1702","786460506",639
"1703","786460601",685
"1704","786460602",656
"1705","786460603",697
"1706","786460604",802
"1707","786460605",675
"1708","786460606",1351
"1709","786500101",1061
"1710","786500102",1220
"1711","786500103",1058
"1712","786500104",1189
"1713","786500105",1462
"1714","786740101",3204
"1715","786740102",2236
"1716","786740103",2732
"1717","786740104",1709
"1718","786860101",8
"1719","786860102",754
"1720","786860103",764
"1721","786860104",617
"1722","786860105",1456
"1723","786860106",754
"1724","786860107",923
"1725","786860108",731
"1726","786880101",838
"1727","786880102",881
"1728","786880103",809
"1729","786880104",637
"1730","786880105",1172
"1731","910210101",960
"1732","910210102",1028
"1733","910210103",1188
"1734","910210104",650
"1735","910270101",625
"1736","910270102",1053
"1737","910270103",1003
"1738","910270104",1177
"1739","910270105",1141
"1740","910270106",743
"1741","910270107",953
"1742","910270108",1409
"1743","910270109",392
"1744","910270110",1222
"1745","910270111",1382
"1746","910270112",619
"1747","910270113",697
"1748","910270114",9
"1749","910860101",2774
"1750","910860102",2159
"1751","910860103",2020
"1752","910860104",1723
"1753","910860105",135
"1754","910860106",3
"1755","910860107",8
"1756","911030101",536
"1757","911030102",2419
"1758","911030103",1098
"1759","911030104",2982
"1760","911030105",1270
"1761","911030106",666
"1762","911030107",795
"1763","911050101",4013
"1764","911050102",1741
"1765","911050103",2521
"1766","911140101",2150
"1767","911140102",2395
"1768","911140103",2150
"1769","911140104",1530
"1770","911140105",2002
"1771","911220101",2210
"1772","911220102",1783
"1773","911220103",2440
"1774","911220104",2582
"1775","911610101",673
"1776","911610102",2212
"1777","911610103",700
"1778","911610104",1109
"1779","911610105",91
"1780","911610106",720
"1781","911610107",1028
"1782","911610108",1374
"1783","911740101",544
"1784","911740102",399
"1785","911740201",1269
"1786","911740202",1808
"1787","911740203",938
"1788","911740301",3407
"1789","911740302",742
"1790","911740401",826
"1791","911740402",734
"1792","911740501",744
"1793","911740502",1295
"1794","911740503",867
"1795","911740601",685
"1796","911740602",611
"1797","911740701",1413
"1798","911740702",385
"1799","911740801",3663
"1800","911820101",1042
"1801","911820102",1260
"1802","911820103",1117
"1803","911820104",747
"1804","911820105",1065
"1805","911820106",3
"1806","911820107",41
"1807","911910101",1792
"1808","911910102",2145
"1809","911910103",2568
"1810","911910104",2506
"1811","912000101",2986
"1812","912000102",2014
"1813","912000103",2331
"1814","912000104",1843
"1815","912010101",1161
"1816","912010102",698
"1817","912010103",1219
"1818","912010104",859
"1819","912010105",1271
"1820","912010106",755
"1821","912010107",906
"1822","912010108",903
"1823","912010109",1244
"1824","912010110",1034
"1825","912010111",979
"1826","912150101",799
"1827","912150102",746
"1828","912150103",2490
"1829","912150104",934
"1830","912160101",618
"1831","912160102",645
"1832","912160103",756
"1833","912160104",949
"1834","912160105",1024
"1835","912230101",920
"1836","912230102",812
"1837","912230103",1291
"1838","912230104",1493
"1839","912230105",636
"1840","912230106",699
"1841","912230107",2229
"1842","912230108",858
"1843","912230109",670
"1844","912280101",986
"1845","912280102",975
"1846","912280103",1268
"1847","912280104",1570
"1848","912280105",656
"1849","912280106",2207
"1850","912280107",1222
"1851","912280108",824
"1852","912280109",684
"1853","912280110",835
"1854","912280111",456
"1855","912280112",807
"1856","912280113",913
"1857","912280114",805
"1858","912280115",674
"1859","912280116",932
"1860","912280117",961
"1861","912280118",945
"1862","912280119",856
"1863","912280120",419
"1864","912280121",10
"1865","912350101",1502
"1866","912350102",1633
"1867","912350103",5232
"1868","912720101",1063
"1869","912720102",995
"1870","912720103",888
"1871","912720104",591
"1872","912720105",1064
"1873","912720106",723
"1874","912720107",923
"1875","912720108",591
"1876","912720109",440
"1877","912720110",219
"1878","912860101",55
"1879","912860102",1347
"1880","912860103",1179
"1881","912860104",1274
"1882","912860105",2373
"1883","912860106",1120
"1884","912860107",892
"1885","912860108",509
"1886","912860109",1903
"1887","913120101",861
"1888","913120102",579
"1889","913120103",1160
"1890","913120104",1199
"1891","913260101",2412
"1892","913260102",789
"1893","913260103",795
"1894","913260201",786
"1895","913260202",1689
"1896","913400101",2713
"1897","913400102",1627
"1898","913400103",1792
"1899","913400104",168
"1900","913400105",1
"1901","913400106",143
"1902","913400107",807
"1903","913450101",1603
"1904","913450102",1137
"1905","913450103",859
"1906","913450104",1131
"1907","913450105",987
"1908","913450106",709
"1909","913450107",1074
"1910","913450108",950
"1911","913630101",2114
"1912","913630102",3287
"1913","913630103",2459
"1914","913770101",411
"1915","913770102",665
"1916","913770103",1538
"1917","913770104",1756
"1918","913770105",1240
"1919","913770106",1026
"1920","913770107",513
"1921","913770108",916
"1922","913770109",1016
"1923","913770110",1152
"1924","913770111",836
"1925","913770113",1040
"1926","913770114",7045
"1927","913860101",1849
"1928","913860102",1185
"1929","913860103",936
"1930","913860104",552
"1931","913860105",785
"1932","914210101",1486
"1933","914210102",471
"1934","914210103",697
"1935","914210104",769
"1936","914210105",764
"1937","914210106",1017
"1938","914210107",903
"1939","914210108",1307
"1940","914210109",767
"1941","914210110",1022
"1942","914320101",1957
"1943","914320102",833
"1944","914320103",1179
"1945","914320104",1419
"1946","914340101",1001
"1947","914340102",815
"1948","914340103",1278
"1949","914340104",836
"1950","914340105",1294
"1951","914340106",1159
"1952","914340107",804
"1953","914340108",1046
"1954","914710101",891
"1955","914710102",763
"1956","914710103",1232
"1957","914710104",855
"1958","914710105",1536
"1959","914710106",749
"1960","914770101",704
"1961","914770102",1448
"1962","914770103",1117
"1963","914770104",1473
"1964","914770105",1221
"1965","914770106",757
"1966","914770107",2795
"1967","914770108",1155
"1968","914770109",1314
"1969","914790101",2281
"1970","914790102",2315
"1971","914790103",2757
"1972","915210101",607
"1973","915210102",1426
"1974","915210103",630
"1975","915210104",680
"1976","915210105",937
"1977","915210106",724
"1978","915210107",789
"1979","915210108",991
"1980","915210109",1036
"1981","915210110",2649
"1982","915210111",550
"1983","915210112",163
"1984","915490101",1006
"1985","915490102",754
"1986","915490103",853
"1987","915490104",876
"1988","915490105",782
"1989","915490106",1084
"1990","915490107",827
"1991","915490108",673
"1992","915490109",875
"1993","915490110",1279
"1994","915490112",1427
"1995","915490113",1873
"1996","915490114",980
"1997","915490115",579
"1998","915520101",3294
"1999","915520102",2420
"2000","915520103",2669
"2001","915520104",1864
"2002","915530101",2831
"2003","915530102",2590
"2004","915530103",2008
"2005","915700101",1014
"2006","915700102",883
"2007","915700103",777
"2008","915700104",1151
"2009","915700105",1217
"2010","915700106",548
"2011","915700107",1286
"2012","915700108",857
"2013","915890101",1073
"2014","915890102",913
"2015","915890103",1025
"2016","915890104",1060
"2017","915890105",1033
"2018","915890106",983
"2019","915890107",780
"2020","915890108",742
"2021","915890109",903
"2022","915890110",797
"2023","915890111",870
"2024","915890112",902
"2025","915890113",401
"2026","915890114",718
"2027","915890115",798
"2028","915890116",933
"2029","916000101",2178
"2030","916000102",2344
"2031","916000103",2435
"2032","916450101",737
"2033","916450102",1068
"2034","916450103",734
"2035","916450104",957
"2036","916450105",530
"2037","916450106",811
"2038","916450107",559
"2039","916450108",223
"2040","916450109",202
"2041","916570101",689
"2042","916570102",910
"2043","916570103",1501
"2044","916570104",1550
"2045","916570105",819
"2046","916570106",2288
"2047","916570107",996
"2048","916570108",399
"2049","916570109",916
"2050","916570110",1977
"2051","916610101",3323
"2052","916610102",3075
"2053","916610103",3937
"2054","916870101",735
"2055","916870102",1307
"2056","916870103",745
"2057","916870104",1189
"2058","916870105",994
"2059","916870106",796
"2060","916870107",1082
"2061","916870108",1048
"2062","916870109",1231
"2063","916870110",480
"2064","916870111",1287
"2065","916870112",789
"2066","916910101",1511
"2067","916910102",1522
"2068","916910103",1321
"2069","916910104",1826
"2070","916910105",1905
"2071","916910106",1468
"2072","916910107",1587
"2073","916920101",1196
"2074","916920102",1932
"2075","916920103",1490
"2076","916920104",1005
"2077","916920105",897
"2078","916920106",739
"2079","916920107",1743
"2080","916920108",491
"2081","920020101",386
"2082","920020102",388
"2083","920020103",482
"2084","920020104",985
"2085","920020105",808
"2086","920020106",723
"2087","920020107",792
"2088","920020201",839
"2089","920020202",1420
"2090","920020203",1202
"2091","920020204",893
"2092","920020205",806
"2093","920020301",1263
"2094","920020302",2032
"2095","920020303",801
"2096","920020304",813
"2097","920020305",634
"2098","920020306",909
"2099","920020307",539
"2100","920020308",516
"2101","920020401",858
"2102","920020402",1128
"2103","920020403",701
"2104","920020404",698
"2105","920020405",1210
"2106","920020406",605
"2107","920020407",715
"2108","920040101",982
"2109","920040102",863
"2110","920040103",1020
"2111","920040104",550
"2112","920040105",628
"2113","920040201",975
"2114","920040202",935
"2115","920040203",986
"2116","920040301",1066
"2117","920040302",1600
"2118","920040303",881
"2119","920040304",912
"2120","920040305",859
"2121","920040401",1057
"2122","920040402",1035
"2123","920040403",820
"2124","920040404",997
"2125","920040501",1010
"2126","920040502",2265
"2127","920040503",987
"2128","920040504",1402
"2129","920040601",1306
"2130","920040602",1071
"2131","920040603",1042
"2132","920040604",1483
"2133","920040701",422
"2134","920040702",906
"2135","920040703",768
"2136","920040704",1533
"2137","920040705",872
"2138","920040706",571
"2139","920040707",1484
"2140","920070101",1037
"2141","920070102",1013
"2142","920070103",546
"2143","920070104",934
"2144","920070105",1068
"2145","920070106",785
"2146","920070107",703
"2147","920070108",915
"2148","920070109",993
"2149","920070110",635
"2150","920070111",1044
"2151","920070112",1070
"2152","920070113",885
"2153","920070114",636
"2154","920070115",992
"2155","920070116",931
"2156","920070117",630
"2157","920090101",778
"2158","920090102",630
"2159","920090103",936
"2160","920090104",661
"2161","920090105",930
"2162","920090106",941
"2163","920090107",793
"2164","920090108",682
"2165","920090109",633
"2166","920090110",967
"2167","920090111",754
"2168","920090112",1931
"2169","920120101",811
"2170","920120102",591
"2171","920120103",857
"2172","920120105",1088
"2173","920120106",1315
"2174","920120107",1390
"2175","920120201",747
"2176","920120202",939
"2177","920120203",839
"2178","920120204",877
"2179","920120205",966
"2180","920120206",1698
"2181","920120207",1023
"2182","920120208",1349
"2183","920120301",1113
"2184","920120302",1414
"2185","920120303",5460
"2186","920120304",622
"2187","920120305",963
"2188","920120401",968
"2189","920120402",612
"2190","920120403",1039
"2191","920120404",922
"2192","920120405",885
"2193","920120406",1559
"2194","920120501",824
"2195","920120502",1293
"2196","920120503",1176
"2197","920120504",1220
"2198","920120505",862
"2199","920120506",884
"2200","920120601",1295
"2201","920120602",896
"2202","920120603",1738
"2203","920120604",922
"2204","920120701",759
"2205","920120702",810
"2206","920120703",532
"2207","920120704",779
"2208","920120705",568
"2209","920120706",555
"2210","920120707",702
"2211","920140101",552
"2212","920140102",676
"2213","920140103",1063
"2214","920140104",1469
"2215","920140105",929
"2216","920140106",1293
"2217","920140107",733
"2218","920140108",1336
"2219","920190101",601
"2220","920190102",697
"2221","920190103",474
"2222","920190104",1493
"2223","920190105",667
"2224","920190106",725
"2225","920190107",905
"2226","920190108",698
"2227","920190109",1370
"2228","920190110",1017
"2229","920190111",1015
"2230","920190112",948
"2231","920190113",1012
"2232","920190114",463
"2233","920200101",1508
"2234","920200102",1332
"2235","920200103",717
"2236","920200104",923
"2237","920200105",943
"2238","920200106",1214
"2239","920200107",2617
"2240","920200108",959
"2241","920200109",1324
"2242","920200111",895
"2243","920200112",1448
"2244","920220101",931
"2245","920220102",827
"2246","920220103",607
"2247","920220104",836
"2248","920220105",1272
"2249","920220106",1151
"2250","920220107",709
"2251","920220108",511
"2252","920220109",477
"2253","920230101",633
"2254","920230102",1214
"2255","920230103",1017
"2256","920230104",1399
"2257","920230105",1164
"2258","920230201",843
"2259","920230202",1056
"2260","920230203",842
"2261","920230301",764
"2262","920230302",719
"2263","920230303",825
"2264","920230304",984
"2265","920230401",1037
"2266","920230402",1789
"2267","920230501",1325
"2268","920230502",945
"2269","920230503",747
"2270","920230504",847
"2271","920230505",882
"2272","920230506",645
"2273","920230507",621
"2274","920240101",939
"2275","920240102",765
"2276","920240103",1038
"2277","920240104",1333
"2278","920240201",1184
"2279","920240202",636
"2280","920240203",902
"2281","920240301",1461
"2282","920240302",517
"2283","920240303",897
"2284","920240304",1558
"2285","920240401",1665
"2286","920240402",687
"2287","920240403",667
"2288","920240404",1257
"2289","920240405",1180
"2290","920240501",747
"2291","920240502",1010
"2292","920240503",1146
"2293","920240504",1296
"2294","920240601",1482
"2295","920240602",1020
"2296","920250101",746
"2297","920250102",948
"2298","920250103",751
"2299","920250104",817
"2300","920250105",692
"2301","920250106",754
"2302","920250107",782
"2303","920250108",754
"2304","920250109",1365
"2305","920250110",621
"2306","920250111",905
"2307","920250113",906
"2308","920250201",2077
"2309","920250202",1737
"2310","920250203",2401
"2311","920250204",793
"2312","920250205",973
"2313","920250206",748
"2314","920250207",610
"2315","920250208",1412
"2316","920250209",703
"2317","920250210",1157
"2318","920250211",414
"2319","920250212",820
"2320","920250301",1488
"2321","920250302",1238
"2322","920250303",660
"2323","920250304",947
"2324","920250305",948
"2325","920250306",658
"2326","920250401",1108
"2327","920250402",1486
"2328","920250403",1374
"2329","920260101",827
"2330","920260102",1026
"2331","920260103",1270
"2332","920260201",1264
"2333","920260202",992
"2334","920260203",1424
"2335","920260204",564
"2336","920260301",562
"2337","920260302",599
"2338","920260303",856
"2339","920260304",749
"2340","920260305",779
"2341","920260402",1177
"2342","920260403",724
"2343","920260404",1890
"2344","920260405",1247
"2345","920260406",1568
"2346","920260501",817
"2347","920260502",848
"2348","920260503",1387
"2349","920260504",788
"2350","920260505",1357
"2351","920260506",640
"2352","920260601",889
"2353","920260602",1368
"2354","920260603",663
"2355","920260701",870
"2356","920260702",857
"2357","920260703",950
"2358","920260704",1492
"2359","920260705",416
"2360","920320101",822
"2361","920320102",1038
"2362","920320103",692
"2363","920320104",728
"2364","920320105",874
"2365","920320106",714
"2366","920320107",764
"2367","920320108",906
"2368","920320109",793
"2369","920320110",690
"2370","920320111",644
"2371","920330101",1968
"2372","920330102",1021
"2373","920330103",668
"2374","920330104",636
"2375","920330105",601
"2376","920330106",613
"2377","920330107",772
"2378","920330108",626
"2379","920350101",1796
"2380","920350102",928
"2381","920350103",807
"2382","920350104",989
"2383","920350105",803
"2384","920350106",652
"2385","920350108",1067
"2386","920350109",934
"2387","920350110",1162
"2388","920350111",1422
"2389","920350112",528
"2390","920360101",1384
"2391","920360102",337
"2392","920360103",363
"2393","920360104",1416
"2394","920360201",876
"2395","920360202",671
"2396","920360203",806
"2397","920360204",480
"2398","920360301",1171
"2399","920360302",774
"2400","920360303",783
"2401","920360401",152
"2402","920360402",945
"2403","920360403",1239
"2404","920360404",143
"2405","920360501",2251
"2406","920360502",1886
"2407","920360503",1345
"2408","920360504",676
"2409","920400101",1224
"2410","920400102",887
"2411","920400103",1362
"2412","920400201",991
"2413","920400202",334
"2414","920400203",925
"2415","920400204",1057
"2416","920400301",1491
"2417","920400401",1364
"2418","920400402",4161
"2419","920400403",788
"2420","920400404",2271
"2421","920400501",649
"2422","920400502",1471
"2423","920400504",2460
"2424","920400505",1937
"2425","920400601",1734
"2426","920400701",788
"2427","920440103",1184
"2428","920440104",1013
"2429","920440105",1047
"2430","920440106",1194
"2431","920440107",910
"2432","920440108",569
"2433","920440109",1013
"2434","920440110",1033
"2435","920440111",1114
"2436","920440112",998
"2437","920440113",1334
"2438","920440114",1245
"2439","920440115",1292
"2440","920440116",1086
"2441","920440117",786
"2442","920440118",1318
"2443","920440119",952
"2444","920440120",1114
"2445","920440121",1365
"2446","920440122",1273
"2447","920440123",1137
"2448","920440124",1075
"2449","920440125",996
"2450","920440126",670
"2451","920460101",1191
"2452","920460102",1274
"2453","920460103",936
"2454","920460104",1389
"2455","920460105",1209
"2456","920460106",1255
"2457","920460107",1541
"2458","920460108",624
"2459","920460109",824
"2460","920460110",1328
"2461","920460111",588
"2462","920480101",889
"2463","920480102",632
"2464","920480103",724
"2465","920480104",891
"2466","920480105",738
"2467","920480106",1243
"2468","920480107",57
"2469","920480201",1075
"2470","920480202",900
"2471","920480203",1841
"2472","920480204",989
"2473","920480205",976
"2474","920480206",742
"2475","920480207",552
"2476","920480208",695
"2477","920480209",1405
"2478","920480210",1143
"2479","920480211",767
"2480","920480212",1353
"2481","920490101",709
"2482","920490102",918
"2483","920490103",1325
"2484","920490104",793
"2485","920490105",786
"2486","920490106",1348
"2487","920490107",684
"2488","920490108",1210
"2489","920490109",1219
"2490","920490110",1684
"2491","920490111",1170
"2492","920490112",855
"2493","920490113",1044
"2494","920490114",1222
"2495","920490115",905
"2496","920490116",1371
"2497","920490117",1387
"2498","920500101",602
"2499","920500102",1135
"2500","920500103",1047
"2501","920500203",478
"2502","920500204",505
"2503","920500205",510
"2504","920500206",1270
"2505","920500301",2007
"2506","920500302",725
"2507","920500303",472
"2508","920500401",595
"2509","920500403",697
"2510","920500406",787
"2511","920500407",353
"2512","920500408",1044
"2513","920500501",879
"2514","920500502",1987
"2515","920500503",304
"2516","920500504",479
"2517","920500505",2408
"2518","920500508",600
"2519","920500509",1428
"2520","920500510",684
"2521","920500511",1709
"2522","920500601",643
"2523","920500602",855
"2524","920500605",1254
"2525","920500606",769
"2526","920500607",98
"2527","920500701",308
"2528","920500702",654
"2529","920500703",999
"2530","920500704",246
"2531","920500801",2210
"2532","920500802",2049
"2533","920500803",1380
"2534","920500804",1511
"2535","920500805",811
"2536","920510101",962
"2537","920510102",745
"2538","920510103",1320
"2539","920510104",798
"2540","920510201",833
"2541","920510202",607
"2542","920510301",747
"2543","920510302",781
"2544","920510303",549
"2545","920510304",1097
"2546","920510305",831
"2547","920510306",955
"2548","920510307",939
"2549","920510308",760
"2550","920510309",877
"2551","920510401",837
"2552","920510402",897
"2553","920510403",573
"2554","920510404",628
"2555","920510405",1067
"2556","920510406",826
"2557","920510407",876
"2558","920510408",1085
"2559","920510409",950
"2560","920510410",908
"2561","920510411",880
"2562","920600101",1275
"2563","920600102",1175
"2564","920600104",1118
"2565","920600105",947
"2566","920600106",1812
"2567","920600107",1547
"2568","920600108",969
"2569","920600109",1843
"2570","920600110",689
"2571","920620101",1015
"2572","920620102",1079
"2573","920620103",1104
"2574","920620201",878
"2575","920620202",853
"2576","920620203",933
"2577","920620204",673
"2578","920620205",1478
"2579","920620301",855
"2580","920620302",612
"2581","920620303",823
"2582","920620304",1159
"2583","920620305",751
"2584","920620306",1432
"2585","920620401",669
"2586","920620402",805
"2587","920620403",1080
"2588","920620404",943
"2589","920630101",1075
"2590","920630102",858
"2591","920630103",643
"2592","920630104",978
"2593","920630105",1244
"2594","920630106",985
"2595","920630201",1002
"2596","920630202",923
"2597","920630301",1095
"2598","920630302",890
"2599","920630401",693
"2600","920630501",917
"2601","920630502",1159
"2602","920630503",905
"2603","920630504",756
"2604","920630601",1007
"2605","920630602",886
"2606","920630603",921
"2607","920630701",819
"2608","920630702",1590
"2609","920630703",844
"2610","920630704",877
"2611","920630705",1091
"2612","920630706",676
"2613","920630707",589
"2614","920630801",707
"2615","920630802",1084
"2616","920630803",944
"2617","920630804",984
"2618","920630805",959
"2619","920630806",1218
"2620","920640101",1031
"2621","920640102",1003
"2622","920640103",836
"2623","920640104",819
"2624","920640105",874
"2625","920640106",1101
"2626","920640107",931
"2627","920640108",1006
"2628","920640109",606
"2629","920640110",1173
"2630","920640111",743
"2631","920640112",871
"2632","920710101",1051
"2633","920710102",1154
"2634","920710103",949
"2635","920710104",845
"2636","920710105",1051
"2637","920710106",631
"2638","920710107",941
"2639","920710108",775
"2640","920720101",526
"2641","920720102",590
"2642","920720103",813
"2643","920720104",1341
"2644","920720105",883
"2645","920720106",1196
"2646","920720107",874
"2647","920720108",1008
"2648","920720109",733
"2649","920720110",960
"2650","920730101",2865
"2651","920730102",1705
"2652","920730103",872
"2653","920730104",954
"2654","920730105",540
"2655","920730106",1102
"2656","920730108",2138
"2657","920730109",550
"2658","920730110",725
"2659","920730111",674
"2660","920730112",1036
"2661","920730113",1871
"2662","920730114",1788
"2663","920730115",578
"2664","920730116",1637
"2665","920750101",636
"2666","920750102",849
"2667","920750103",975
"2668","920750104",1383
"2669","920750105",866
"2670","920750106",1150
"2671","920750107",966
"2672","920750108",900
"2673","920750109",1198
"2674","920750110",803
"2675","920750111",783
"2676","920760101",1852
"2677","920760102",1764
"2678","920760103",2163
"2679","920760104",2718
"2680","920770102",672
"2681","920770103",1050
"2682","920770104",1457
"2683","920770105",683
"2684","920770106",801
"2685","920780101",612
"2686","920780102",1332
"2687","920780103",1139
"2688","920780104",1129
"2689","920780105",1097
"2690","920780106",781
"2691","920780107",620
"2692","920780108",539
"2693","920780109",380
"2694","920780110",1523
"2695","930010101",2125
"2696","930010201",600
"2697","930010202",977
"2698","930010302",1337
"2699","930010303",604
"2700","930010304",546
"2701","930010401",2317
"2702","930010402",1232
"2703","930010501",616
"2704","930010502",1144
"2705","930010503",1709
"2706","930010601",698
"2707","930010602",865
"2708","930010603",576
"2709","930010701",947
"2710","930010801",1690
"2711","930010802",1698
"2712","930010901",1305
"2713","930010902",1932
"2714","930010903",905
"2715","930011001",912
"2716","930011002",1014
"2717","930011101",1237
"2718","930011102",1880
"2719","930011201",1725
"2720","930011202",766
"2721","930011203",639
"2722","930050101",788
"2723","930050102",819
"2724","930050103",759
"2725","930050201",85
"2726","930050202",1073
"2727","930050203",937
"2728","930050204",1709
"2729","930050206",1698
"2730","930050207",559
"2731","930050208",487
"2732","930050209",736
"2733","930050301",676
"2734","930050302",823
"2735","930050303",639
"2736","930050304",698
"2737","930050401",1272
"2738","930050402",921
"2739","930050403",806
"2740","930050501",636
"2741","930050502",754
"2742","930050503",808
"2743","930050601",1133
"2744","930050602",967
"2745","930050603",677
"2746","930050604",984
"2747","930050701",429
"2748","930050702",701
"2749","930050703",1200
"2750","930050801",1289
"2751","930050802",2088
"2752","930050803",778
"2753","930050804",610
"2754","930050805",756
"2755","930050901",721
"2756","930050902",1187
"2757","930050903",991
"2758","930060101",789
"2759","930060102",750
"2760","930060103",649
"2761","930060104",1360
"2762","930060105",1967
"2763","930060106",761
"2764","930060107",1089
"2765","930060108",699
"2766","930060109",191
"2767","930060110",643
"2768","930060111",615
"2769","930060112",740
"2770","930060113",773
"2771","930060114",1046
"2772","930060115",823
"2773","930060116",1111
"2774","930070101",602
"2775","930070102",297
"2776","930070103",584
